seed	vmh
biomass0	biomass0
EX_cpd00001(e)	EX_h2o(e)
EX_cpd00006(e)	EX_nadp(e)
EX_cpd00007(e)	EX_o2(e)
EX_cpd00009(e)	EX_pi(e)
EX_cpd00010(e)	EX_coa(e)
EX_cpd00011(e)	EX_co2(e)
EX_cpd00012(e)	EX_ppi(e)
EX_cpd00013(e)	EX_nh4(e)
EX_cpd00017(e)	EX_amet(e)
EX_cpd00018(e)	EX_amp(e)
EX_cpd00023(e)	EX_glu_L(e)
EX_cpd00024(e)	EX_akg(e)
EX_cpd00027(e)	EX_glc(e)
EX_cpd00028(e)	EX_pheme(e)
EX_cpd00029(e)	EX_ac(e)
EX_cpd00030(e)	EX_mn2(e)
EX_cpd00032(e)	EX_oaa(e)
EX_cpd00033(e)	EX_gly(e)
EX_cpd00034(e)	EX_zn2(e)
EX_cpd00035(e)	EX_ala_L(e)
EX_cpd00036(e)	EX_succ(e)
EX_cpd00038(e)	EX_gtp(e)
EX_cpd00039(e)	EX_lys_L(e)
EX_cpd00041(e)	EX_asp_L(e)
EX_cpd00042(e)	EX_gthrd(e)
EX_cpd00046(e)	EX_cmp(e)
EX_cpd00047(e)	EX_for(e)
EX_cpd00048(e)	EX_so4(e)
EX_cpd00051(e)	EX_arg_L(e)
EX_cpd00053(e)	EX_gln_L(e)
EX_cpd00054(e)	EX_ser_L(e)
EX_cpd00058(e)	EX_cu2(e)
EX_cpd00060(e)	EX_met_L(e)
EX_cpd00061(e)	EX_pep[e]
EX_cpd00063(e)	EX_ca2(e)
EX_cpd00064(e)	EX_orn(e)
EX_cpd00065(e)	EX_trp_L(e)
EX_cpd00066(e)	EX_phe_L(e)
EX_cpd00067(e)	EX_h(e)
EX_cpd00069(e)	EX_tyr_L(e)
EX_cpd00072(e)	EX_f6p(e)
EX_cpd00073(e)	EX_urea(e)
EX_cpd00075(e)	EX_no2(e)
EX_cpd00076(e)	EX_sucr(e)
EX_cpd00079(e)	EX_g6p(e)
EX_cpd00080(e)	EX_glyc3p(e)
EX_cpd00081(e)	EX_so3(e)
EX_cpd00082(e)	EX_fru(e)
EX_cpd00084(e)	EX_cys_L(e)
EX_cpd00085(e)	EX_ala_B(e)
EX_cpd00089(e)	EX_g1p(e)
EX_cpd00091(e)	EX_ump(e)
EX_cpd00092(e)	EX_ura(e)
EX_cpd00093(e)	EX_anth(e)
EX_cpd00098(e)	EX_chol(e)
EX_cpd00099(e)	EX_cl(e)
EX_cpd00100(e)	EX_glyc(e)
EX_cpd00104(e)	EX_btn(e)
EX_cpd00105(e)	EX_rib_D(e)
EX_cpd00106(e)	EX_fum(e)
EX_cpd00107(e)	EX_leu_L(e)
EX_cpd00108(e)	EX_gal(e)
EX_cpd00111(e)	EX_gthox(e)
EX_cpd00115(e)	EX_datp(e)
EX_cpd00117(e)	EX_ala_D(e)
EX_cpd00118(e)	EX_ptrc(e)
EX_cpd00119(e)	EX_his_L(e)
EX_cpd00121(e)	EX_inost(e)
EX_cpd00122(e)	EX_acgam(e)
EX_cpd00126(e)	EX_gmp(e)
