seed	vmh
biomass0	biomass0
R00915	R00915
R03472	R03472
R06895	CPPPGO2
R08892	R08892
R08893	R08893
EX_cpd00001_e	EX_h2o_LPAREN_e_RPAREN_
EX_cpd00006_e	EX_nadp_LPAREN_e_RPAREN_
EX_cpd00007_e	EX_o2_LPAREN_e_RPAREN_
EX_cpd00009_e	EX_pi_LPAREN_e_RPAREN_
EX_cpd00010_e	EX_coa_LPAREN_e_RPAREN_
EX_cpd00011_e	EX_co2_LPAREN_e_RPAREN_
EX_cpd00012_e	EX_ppi_LPAREN_e_RPAREN_
EX_cpd00013_e	EX_nh4_LPAREN_e_RPAREN_
EX_cpd00017_e	EX_amet_LPAREN_e_RPAREN_
EX_cpd00018_e	EX_amp_LPAREN_e_RPAREN_
EX_cpd00023_e	EX_glu_L_LPAREN_e_RPAREN_
EX_cpd00024_e	EX_akg_LPAREN_e_RPAREN_
EX_cpd00027_e	EX_glc_LPAREN_e_RPAREN_
EX_cpd00028_e	EX_pheme_LPAREN_e_RPAREN_
EX_cpd00029_e	EX_ac_LPAREN_e_RPAREN_
EX_cpd00030_e	EX_mn2_LPAREN_e_RPAREN_
EX_cpd00032_e	EX_oaa_LPAREN_e_RPAREN_
EX_cpd00033_e	EX_gly_LPAREN_e_RPAREN_
EX_cpd00034_e	EX_zn2_LPAREN_e_RPAREN_
EX_cpd00035_e	EX_ala_L_LPAREN_e_RPAREN_
EX_cpd00036_e	EX_succ_LPAREN_e_RPAREN_
EX_cpd00038_e	EX_gtp_LPAREN_e_RPAREN_
EX_cpd00039_e	EX_lys_L_LPAREN_e_RPAREN_
EX_cpd00041_e	EX_asp_L_LPAREN_e_RPAREN_
EX_cpd00042_e	EX_gthrd_LPAREN_e_RPAREN_
EX_cpd00046_e	EX_cmp_LPAREN_e_RPAREN_
EX_cpd00047_e	EX_for_LPAREN_e_RPAREN_
EX_cpd00048_e	EX_so4_LPAREN_e_RPAREN_
EX_cpd00051_e	EX_arg_L_LPAREN_e_RPAREN_
EX_cpd00053_e	EX_gln_L_LPAREN_e_RPAREN_
EX_cpd00054_e	EX_ser_L_LPAREN_e_RPAREN_
EX_cpd00058_e	EX_cu2_LPAREN_e_RPAREN_
EX_cpd00060_e	EX_met_L_LPAREN_e_RPAREN_
EX_cpd00061_e	EX_pep_LPAREN_e_RPAREN_
EX_cpd00063_e	EX_ca2_LPAREN_e_RPAREN_
EX_cpd00064_e	EX_orn_LPAREN_e_RPAREN_
EX_cpd00065_e	EX_trp_L_LPAREN_e_RPAREN_
EX_cpd00066_e	EX_phe_L_LPAREN_e_RPAREN_
EX_cpd00067_e	EX_h_LPAREN_e_RPAREN_
EX_cpd00069_e	EX_tyr_L_LPAREN_e_RPAREN_
EX_cpd00072_e	EX_f6p_LPAREN_e_RPAREN_
EX_cpd00073_e	EX_urea_LPAREN_e_RPAREN_
EX_cpd00075_e	EX_no2_LPAREN_e_RPAREN_
EX_cpd00076_e	EX_sucr_LPAREN_e_RPAREN_
EX_cpd00079_e	EX_g6p_LPAREN_e_RPAREN_
EX_cpd00080_e	EX_glyc3p_LPAREN_e_RPAREN_
EX_cpd00081_e	EX_so3_LPAREN_e_RPAREN_
EX_cpd00082_e	EX_fru_LPAREN_e_RPAREN_
EX_cpd00084_e	EX_cys_L_LPAREN_e_RPAREN_
EX_cpd00085_e	EX_ala_B_LPAREN_e_RPAREN_
EX_cpd00089_e	EX_g1p_LPAREN_e_RPAREN_
EX_cpd00091_e	EX_ump_LPAREN_e_RPAREN_
EX_cpd00092_e	EX_ura_LPAREN_e_RPAREN_
EX_cpd00093_e	EX_anth_LPAREN_e_RPAREN_
EX_cpd00098_e	EX_chol_LPAREN_e_RPAREN_
EX_cpd00099_e	EX_cl_LPAREN_e_RPAREN_
EX_cpd00100_e	EX_glyc_LPAREN_e_RPAREN_
EX_cpd00104_e	EX_btn_LPAREN_e_RPAREN_
EX_cpd00105_e	EX_rib_D_LPAREN_e_RPAREN_
